ID,QID,Query Type,Query Name,Description,Trans,Video Filename,Second Start,Second End,Ans,Note,
128,18,qa,query-qa-18,"Câu hỏi: Hỏi trong đoạn video có bao nhiêu mẫu tem được chiếu riêng biệt với viền màu trắng? Mô tả: Cảnh quay một bộ sưu tập tem của những cô gái. 
Câu hỏi: Hỏi trong đoạn video có bao nhiêu mẫu tem được chiếu riêng biệt với viền màu trắng? Mô tả: Trong cảnh quay này lần lượt chiếu một số mẫu tem trong bộ sưu tập chiếm trọn khung hình của video, với viền trắng. 
Câu hỏi: Hỏi trong đoạn video có bao nhiêu mẫu tem được chiếu riêng biệt với viền màu trắng? Mô tả: Sau đó là cảnh chiếc xe bus diễu hành giữa đám đông. ","Question: In the video, how many stamp samples are shown separately with white borders? Description: Footage of a stamp collection of girls. 
Question: In the video, how many stamp samples are shown separately with white borders? Description: In this shot, several stamp samples in the collection are shown one after another, occupying the entire frame of the video, with white borders. 
Question: In the video, how many stamp samples are shown separately with white borders? Description: Then there is the scene of the bus marching through the crowd.",L08_V026,631,658,9,,query-qa-18 - Answer: 9
129,29,qa,query-qa-29,"Câu hỏi: Hỏi bánh hình chữ nhật được chia thành mấy phần? Mô tả: Cảnh quay một người làm chiếc bánh màu nâu, có bột màu trắng được phủ lên chiếc bánh. 
Câu hỏi: Hỏi bánh hình chữ nhật được chia thành mấy phần? Mô tả: Cảnh quay đầu tiên là cảnh nâng 1 phần của chiếc bánh hình tròn, sau đó bỏ phần bánh này vào một chiếc dĩa. 
Câu hỏi: Hỏi bánh hình chữ nhật được chia thành mấy phần? Mô tả: Sau đó là quay các công đoạn để làm chiếc bánh. Sau đó là cảnh cắt một chiếc bánh hình chữ nhật. 
Câu hỏi: Hỏi bánh hình chữ nhật được chia thành mấy phần? Mô tả: Khung cảnh sau đó cho thấy được toàn cảnh bánh hình chữ nhật này được cắt ra thành nhiều phần (các phần bánh không chồng lên nhau) và người này đang rắc bột lên trên. ","Question: How many parts is a rectangular cake divided into? Description: Scene of a person making a brown cake, with white dough covered on the cake. 
Question: How many parts is a rectangular cake divided into? Description: The first scene is the scene of lifting a part of a round cake, then putting this part of the cake on a plate. 
Question: How many parts is a rectangular cake divided into? Description: Next, the steps to make the cake are filmed. Then there is the scene of cutting a rectangular cake. 
Question: How many parts is a rectangular cake divided into? Description: The scene then shows a panoramic view of this rectangular cake being cut into parts (the cake parts do not overlap) and the person is sprinkling flour on top.",L10_V017,621,659,16,,query-qa-29 - Answer: 16
130,22,qa,query-qa-22,"Câu hỏi: Hãy đếm mô hình người màu xám đậm, đứng thẳng hoặc lơ lửng cố định bởi những thanh sắt nhỏ, bên cạnh bức tượng trắng trong một  buổi triễn lãm đồ gốm? Mô tả: Bức tượng trắng này có hình mặt người đặt trên một khối hình chữ nhật có chữ ""KING"". 
Câu hỏi: Hãy đếm mô hình người màu xám đậm, đứng thẳng hoặc lơ lửng cố định bởi những thanh sắt nhỏ, bên cạnh bức tượng trắng trong một  buổi triễn lãm đồ gốm? Mô tả: Trước đó có cảnh 3 chiếc tượng màu trắng, có chiếc tượng ở giữa cầm một cái gì đó giống son môi, và miệng của chiếc tượng này cũng có màu đỏ. 
Câu hỏi: Hãy đếm mô hình người màu xám đậm, đứng thẳng hoặc lơ lửng cố định bởi những thanh sắt nhỏ, bên cạnh bức tượng trắng trong một  buổi triễn lãm đồ gốm? Mô tả: Đây là một buổi triển lãm gốm sứ cao cấp tại Anh.","Question: Count the dark gray human model, standing upright or suspended by small iron bars, next to the white statue in a ceramics exhibition? This white statue has a human face placed on a rectangular block with the word """"KING"""". 
Question: Count the dark gray human model, standing upright or suspended by small iron bars, next to the white statue in a pottery exhibition? Before that there was a scene of 3 white statues, there was a statue in the middle holding something that looked like lipstick, and the mouth of this statue was also red. 
Question: Count the dark gray human model, standing upright or suspended by small iron bars, next to the white statue in a pottery exhibition? This is a high-end ceramics exhibition in the UK.",L14_V019,806,816,9,,query-qa-22 - Answer: 9
163,1,tkis,query-tkis-1,"Nhiều ngưòi phụ nữ mặc áo dài đang đứng tạo dáng chụp hình tại cánh đồng hoa sen. Những chiếc áo dài này có hình thêu họa tiết hoa sen.
Những chiếc áo dài được may bằng vải caro.
Những người phụ nữ này có mang những chiếc nón lá có vân caro.","Many women wearing ao dai are posing for photos at a field of lotus flowers. These ao dai have lotus flower motifs embroidered on them.
The ao dai are made of checkered fabric.
These women are wearing conical hats with checkered patterns.",L16_V010,367,406,,Lễ Ok,
138,10,tkis,query-tkis-10,"Đoạn đưa tin về ca phẫu thuật từ xa đầu tiên của một robot trên trạm không gian ISS. 
Phân cảnh ghi lại khoảnh khắc hai người đàn ông mặc áo đen đang thực hiện quá trình điều khiển robot. 
Một người đang ngồi điều khiển trước một máy tính. Người đàn ông còn lại đứng và quan sát trên màn hình. 
Trên tường phía sau là một màn hình lớn hiển thị hình ảnh các thao tác của cánh tay robot.","A news report on the first remote surgery performed by a robot on the ISS. 
The footage shows two men in black operating the robot.
One man is sitting in front of a computer, operating the machine. The other man stands and watches the monitor.
On the wall behind him is a large screen displaying the robot's arm in action.",L10_V014,607,680,,Lễ Ok,
144,17,tkis,query-tkis-17,"Bản tin về chương trình kết nối hỗ trợ việc làm cho thực tập sinh từ Nhật Bản trở về nước. Chương trình được tổ chức ở một hội trường rộng với rất nhiều người tham dự. 
Trên sân khấu là hình ảnh một người Nhật đồ vest đang phát biểu. 
Vài phân cảnh phía sau đó là các lớp học tiếng Nhật. 
Phân cảnh gần cuối đoạn tin là hình ảnh trao quà tặng trên sân khấu, quà tặng là hai bức tranh.","News about the job support connection program for trainees returning from Japan. The program was held in a large hall with many attendees. 
On the stage was a Japanese man in a suit giving a speech. 
A few scenes behind were Japanese classes. 
The scene near the end of the news was a gift exchange on stage, the gifts were two paintings.",L03_V012,184,259,,Cập nhật thêm 0.5s ,
146,19,tkis,query-tkis-19,"Bản tin về lễ hội đèn lồng ở Hàn Quốc. 
Hình ảnh những người dân đứng xem những chiếc đèn lồng được diễu hành trên con đường lớn. 
Sau đó là phân cảnh nhiều người nhảy múa ở một sân vận động. 
Một trong các phân cảnh tiếp theo, có hình ảnh của mộc chiếc đèn lồng hình con hổ rất đẹp.","News about the lantern festival in Korea. 
Images of people standing watching the lanterns being paraded on the main road. 
Then there is a scene of many people dancing in a stadium. 
In one of the following scenes, there is an image of a beautiful tiger-shaped wooden lantern.",L16_V012,498,535,,L15_V020 15:14-16:14,
162,2,tkis,query-tkis-2,"Một người đàn ông làm đồ nội thất với khung gỗ và một loại vật liệu đan lát.
Trong video có thể thấy ông ấy đã làm xong nhiều sản phẩm là bàn, ghế và chúng đang ở ngoài vườn.
Vật liệu đan lát này là rác được thu gom từ biển.
","A man creates furniture with a wooden frame and a wicker material.
In the video, you can see that he has finished many products such as tables, chairs and they are in the garden.
The material being woven is trash collected from the sea.",L06_V015,469,521,,Cập nhật đoạn preview 7:20 7:24,
136,9,qa,query-qa-9,"Câu hỏi: Hỏi trong bảng nguyên tố trên slide này, có bao nhiêu kim loại tác dụng với nước? Mô tả: Đây là một bài giảng về hóa học. Giáo viên đang giải một bài, trong đó có phương trình hóa học có vế trái là 2Al+3CuSO4. 
Câu hỏi: Hỏi trong bảng nguyên tố trên slide này, có bao nhiêu kim loại tác dụng với nước? Mô tả: Slide sau đó hiển thị lên một loạt các nguyên tố hóa học mà bên trái cùng là Li và kết thúc bằng Au. ","Question: In the table of elements on this slide, how many metals react with water? Description: This is a lecture on chemistry. The teacher is solving a problem, including the chemical equation with the left side is 2Al+3CuSO4. 
Question: In the table of elements on this slide, how many metals react with water? Description: The slide then displays a series of chemical elements that end with Li on the left and end with Au.",L25_V066,259.52,498.164,5,,query-qa-9 - Answer: 5
137,20,qa,query-qa-20,"Câu hỏi: Hỏi độ dài của đoạn thẳng OA? Mô tả: Đây là một bài giảng về toán học. Trong slide bài giảng, có một hình nón. Đỉnh của hình nón này gọi là S. Đáy hình nón là hình tròn, có 2 điểm A và B trên cung hình tròn. 
Câu hỏi: Hỏi độ dài của đoạn thẳng OA? Mô tả: Để giải bài toán này, video bài giảng đã vẽ thêm đường phụ từ tâm O của hình tròn này bằng cách vẽ một đường vuông góc xuống SI với I là trung điểm của đoạn thẳng AB. 
Câu hỏi: Hỏi độ dài của đoạn thẳng OA? Mô tả: Đây là một bài toán trong đề minh họa của Bộ Giáo dục. ","Question: What is the length of line segment OA? Description: This is a lecture on mathematics. In the lecture slide, there is a cone. The top of this cone is called S. The bottom of the cone is a circle, There are 2 points A and B on the arc of the circle. 
Question: What is the length of line segment OA? Description: To solve this problem, the video lecture draws an additional line from the center O of this circle by drawing a perpendicular line down to SI with I being the midpoint of line segment AB. 
Question: What is the length of line segment OA? Description: This is a math problem in the illustration of the Ministry of Education.",L25_V034,201.201,361.328,10,,query-qa-20 - Answer: 10
